dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl
258.5,1294.08,494,9.93,491.17,11701,1082639.6,2.7745041,6.1196,1.25531,64.6,0.28142836,112.36,0.06287463,0.097818496,26212.2
271.57,1358.38,628.28,12.24,1270.77,16426,1033594.4,2.6338782,6.6491,1.27138,65.51,0.27945159,120.14,0.06432691,0.099085962,28375.7
293.89,1372.73,682.5,27.91,2075.8,21069,1183624.6,2.7260083,7.117,1.26955,66.46,0.29634865,118.59,0.06388289,0.10072882,30555
309.39,1441.34,722.92,19.52,2584.73,26224,1293714.3,2.7877164,7.164,1.20453,67.48,0.30358414,123.17,0.06048463,0.101923589,31497.3
103.53,1267.47,707.93,22.88,473.2,41152,2894568.8,2.4796319,4.0778,0.79807,65.65,0.18347062,97.9,0.36813426,0.090519154,18760.9
160.07,1631.4,726.9,22.34,582.2,45996,3331302.6,2.5406769,4.3956,0.87255,66.45,0.19098879,104.41,0.36909454,0.086666804,20817.8
187.61,2083.51,772.06,30.26,587.8,37860,3242303.4,2.6226325,4.5915,0.994041,67.05,0.17747457,103.29,0.34968489,0.084738573,22820.2
226.4,2710.76,860.47,48.2,729.4,42153,2418802.6,2.9314226,4.6482,1.17583,68.05,0.15632242,97.89,0.29568936,0.084077801,24575.6
231.41,3239.53,971.73,59.3,512.71,52603,2420636.6,4.0624986,4.7069,1.35851,68.87,0.20575766,101.13,0.28193545,0.083014675,26039.7
267.18,3118.77,1058.62,47.5,873.25,49871,2749477.3,4.0807818,5.0221,1.37615,69.49,0.20843992,108.85,0.30998298,0.082074397,27835.4
290.95,3240.31,1135.99,64.72,1774.96,65686,3006013.9,4.1082189,5.4657,1.37485,70.26,0.21084836,111.96,0.32256292,0.082700909,29701.5
311.01,3270.73,1230.41,96.19,2723.2,69732,3102481.8,4.5075263,5.8019,1.39305,71.21,0.23063897,112.22,0.29231201,0.083391466,31819.8
326.29,3305.19,1331.24,79.51,3388.94,86527,3353222.3,4.7858889,5.8629,1.4287,72.14,0.23946526,114.43,0.26043712,0.083750332,32738.3
87.23,635.58,364.56,6.68,240.6,9171,604325.7,1.8495817,3.2005,1.25703,54.54,0.20698135,82.1,0.1786748,0.096257042,14395
138.36,695,379.6,7.64,295.5,10751,698136,1.9692099,3.5139,1.28929,55.74,0.21038831,86.22,0.16968901,0.092205097,15998.1
165.62,805.95,414.9,10.74,297.5,11933,789431,2.1170255,3.7539,1.28559,56.81,0.21105705,94.91,0.16259659,0.087336223,17520.4
208.2,987.18,427.25,14.7,351.13,14800,861540.5,2.4171433,3.8128,1.27929,57.64,0.22876131,91.22,0.11736468,0.087315232,18683.7
217.07,1560.71,440.01,20.46,264.31,18922,908602.3,2.5963131,4.0259,1.38297,58.75,0.2426838,97.14,0.11755021,0.088535138,19967
254.76,1761.08,501.49,24.64,486.1,20450,749958.4,2.6569721,4.289,1.45946,59.71,0.24930326,105.57,0.11462958,0.089496912,21368.3
276.08,1526.74,588.22,37.09,1077.8,27034,575014.9,2.7230935,4.4925,1.49119,60.85,0.25138876,110.98,0.12159653,0.091425161,22798.4
292.77,1686.62,618.3,62.67,1769.3,31052,684086.4,3.8406149,4.7554,1.52478,61.63,0.33542086,107.69,0.11120689,0.092265605,24562.9
308.26,1651.18,654.23,55.81,2119.9,34438,776447.7,4.0611146,5.0561,1.4776,62.64,0.3352343,119.22,0.10379666,0.093295141,25751
87.91,771.67,435.83,7.33,297.4,30610,906170.1,1.9574512,2.935209,0.744421,56.88,0.23164018,69.5,0.21540761,0.098955263,14302
141.4,865.2,459.6,85.75,377.3,32264,950335.3,2.0806707,3.206804,0.789367,58.04,0.23308211,78.76,0.20321037,0.083531178,15903.5
167.8,1044,484.61,79.09,385.9,31856,955820.4,2.2085158,3.346376,0.945612,59.22,0.22834857,90.21,0.19633928,0.082292517,17404.4
209.93,1308.82,519.54,72.1,459.29,34611,880392.4,2.5242332,3.275895,1.28623,60.47,0.26655714,87.36,0.11195154,0.08308212,18592.7
221.89,1964.94,575.05,23.69,320.28,35293,884925.1,2.6310128,3.402463,1.47817,61.09,0.27475077,90.69,0.0923566,0.083543402,19838.5
256.78,1937.24,664.59,20.11,597.31,30958,825853.8,2.7204279,3.588747,1.65597,61.9,0.2918426,96.53,0.10391836,0.083465872,21205.8
