dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl
102.94,168.93,95.53,4.3,97.1,1824,78092.8,3.151523,3.0993,1.81782,51.02,0.31926361,88.4,0.32411354,0.141953802,14180
158.26,198.6,110.9,13.61,126.4,2359,93566.6,3.3306373,3.4053,2.18584,52.28,0.31822216,95.87,0.29785227,0.137580552,15733.3
179.62,223.9,120.28,19.63,128.8,2416,111009.5,3.3762769,3.7166,2.2133,53.3,0.3141468,100.44,0.28252,0.135375283,17476.5
230.33,398.39,149.45,26.7,171.31,3127,111841.1,3.8587432,3.9704,2.2835,54.91,0.33473139,98.16,0.23295979,0.134793705,18979
231.56,522.93,186.48,14.67,125.95,3658,79819.3,4.1468223,4.3009,2.50181,56.7,0.33960328,102.75,0.18429338,0.134434975,20653.4
275.64,571.63,228.71,38.59,251.27,4564,74814.9,4.1579907,4.6631,2.54765,58.04,0.32357581,108.83,0.15573884,0.135244673,22553.2
309.72,726.09,279.12,28.4,569.24,6451,113707.5,3.8142403,5.0263,2.72669,59.13,0.35001707,116.16,0.17159033,0.137890644,24579
328.75,794.11,323.2,64.19,874,9302,108154.4,3.6276425,5.3929,2.92326,59.37,0.35008938,120.21,0.17020753,0.140124589,26679.5
344.05,852.32,351.47,41.77,1146.73,14360,117021.3,3.6682452,5.5131,3.13178,60.27,0.35652881,112.61,0.16939578,0.14079904,27904.1
100.02,648.8,388.07,10.92,245.7,38924,1171045,3.0691786,3.9178,1.01873,56.64,0.26699972,70.9,0.28963866,0.124044634,14924
159.86,778.8,438.8,14.04,357.6,49036,1388198.8,3.1912752,4.3528,1.01822,58.29,0.23955392,80.16,0.32655617,0.121822234,16568.7
184.71,963.38,475.4,22.76,370.9,55298,1664719.6,3.2105507,4.8307,1.01238,59.74,0.23168216,86.58,0.4008651,0.120305243,18351.9
221.84,1349.36,602.72,33.5,493.55,82791,1996609,3.2915385,5.2476,1.07725,61.47,0.24126327,90.76,0.2891489,0.119115902,20110.1
233.89,1643.64,704.73,52.83,349.01,59518,2374858.9,3.2515435,5.8327,1.16165,63.33,0.22557367,94.48,0.23127586,0.118040843,22034.1
276.31,1935.17,866.93,43.77,611.48,64648,2799985.8,3.2572396,6.4176,1.22237,65,0.22323502,106.49,0.2240958,0.117440154,24153
301.53,2245.72,1070.14,46.65,1543.52,72121,2992091.1,3.3951017,6.8464,1.28564,66.61,0.22299551,117.7,0.24220268,0.118510562,26385.8
325.47,2318.19,1163.99,81.2,2603,67271,3358917.7,3.2444695,7.4337,1.3482,68.24,0.20535996,117.75,0.24533217,0.119054689,28920.4
344.76,2368.76,1228.37,86.57,3190.23,83826,3725609.5,3.3901483,7.8173,1.32176,69.46,0.19573608,113.56,0.25982034,0.118441879,30823.9
100.13,1316.32,823.02,26.12,619.9,66312,1422310.4,2.8375431,2.9627,0.850211,43.35,0.22833476,68.3,0.15606459,0.125736611,12753
153.04,1775.7,835.2,34.03,842.8,82453,1688902.3,2.9713811,3.275,0.873,44.96,0.23571133,77.5,0.15081219,0.117064509,14231
173.82,2200.39,883.12,67.07,909.6,91167,1960111.8,3.1078269,3.5563,0.938942,46.51,0.23817118,81.18,0.1492639,0.115325003,15749
215.48,3117.93,1424.02,104.4,1159.02,110746,2238051.4,3.2882365,3.715,1.02244,48.27,0.24947543,82.87,0.1050764,0.114101891,17221
225.41,3709.61,1851.23,138.09,714.93,142522,2572607.4,3.3531788,4.0297,1.17381,50,0.24317601,88.29,0.09882974,0.113812168,18808.3
267.8,4702.77,2167.53,118.38,1245.99,167484,3010846.4,3.3051047,4.5835,1.30917,51.78,0.23511921,92.67,0.12131309,0.113676969,20579.8
294.3,5400.5,2624.49,144.59,3297.15,152987,3423923.2,3.2642086,5.1658,1.39614,53.5,0.23864175,108.72,0.13869814,0.114916765,22460.5
317.11,5863.99,2811.75,217.05,5164.9,131529,3878571.9,3.1237378,5.5619,1.41776,55.36,0.22198837,112.76,0.14641099,0.116069776,24703.2
334.82,6284.68,2975.45,219.03,7526.73,160036,4276382.8,3.3511486,5.8009,1.4532,56.73,0.23042832,109.05,0.16591291,0.116307334,26522.1
75.87,466.76,243.93,3.3,244.1,11296,315078.7,2.7608651,1.894686,1.16415,36.3,0.40215989,66.9,0.06208909,0.186078199,9850
121.22,494.2,292.4,4.29,331.8,17405,342540.8,2.9003346,2.20891,1.19922,37.89,0.38119369,76.03,0.06439434,0.17938995,11083.1
154.62,580.63,310.86,8.6,353.9,22467,410132.3,2.9941973,2.510092,1.20291,40.24,0.38232796,82.25,0.07213058,0.17606848,12371.1
193.29,875.75,386.76,13.6,481.39,18295,457303.1,3.2999682,2.854705,1.21,42.96,0.37509902,83.34,0.07221315,0.173184035,13696.6
209.45,1113.93,459.45,18.81,336.23,25315,556852.5,3.548727,3.158947,1.22223,45.56,0.36193069,86.71,0.03210421,0.170804976,15121.1
251.46,1325.62,568.57,25.47,836.12,34610,648576.1,3.4827565,3.598841,1.3282,47.76,0.34063801,97.36,0.0405062,0.16991015,16703.7
276.91,1535.42,732.01,39.8,2193.37,44508,762279.7,3.4683466,4.027071,1.39677,49.54,0.33969655,109.46,0.03276916,0.17094516,18430.2
293.51,1759.85,892.85,119.93,3874.7,44328,910206,3.3248238,4.372709,1.42634,51.48,0.35473907,111.78,0.02701992,0.173281341,20397.4
307.94,1744.46,1002.4,110.07,5077.83,49200,1053573.9,3.4007607,4.6355,1.44619,53.15,0.32196268,106.15,0.03060862,0.17441268,21795.4
84.43,663.69,375.52,6.09,345.2,9260,384430.4,3.1263004,2.3992,1.12116,38.47,0.34654158,62.5,0.11953177,0.145272425,11233
137.9,736.9,404.7,8.36,452.8,11512,454278.3,3.1234983,2.7665,1.18917,39.99,0.34621388,72.46,0.12218627,0.140759017,12577.9
164.05,741.33,424.88,11.15,538.9,13343,516571.5,3.1913936,3.0217,1.2383,41.21,0.34632243,79.52,0.12952311,0.139552504,13772.2
203.76,1151.07,537.27,17,757.28,17603,619587.7,3.4104722,3.2117,1.34549,42.93,0.34604385,78.87,0.10196623,0.138427386,15222.6
217.34,1674.45,655.31,27.52,500.98,23709,741846.9,3.4765648,3.5051,1.46087,44.64,0.3393777,82.65,0.08076086,0.137804661,16719.9
256.27,1661.76,812.58,23.34,1143.47,28695,885587.7,3.420685,3.9458,1.55589,46.29,0.34885512,88.08,0.08565249,0.137630279,18348.3
285.79,1962.62,1019.43,46.62,2478.73,36515,1070171.5,3.3122366,4.4446,1.52934,47.44,0.3397455,96.47,0.09462472,0.138666872,20084.2
303.46,2091.09,1156.08,99,4185.2,35212,1297740.9,2.7794994,4.9323,1.50435,48.67,0.2915158,100.1,0.1000815,0.140126071,22082.4
318.48,2217.98,1278.12,89.87,5647.84,45153,1451453.9,2.8833369,5.2047,1.49705,50.05,0.28439966,104.92,0.11006159,0.141618667,23294.9
98.24,803.62,439.59,11.26,355.1,43608,1192770.2,2.5586287,3.745342,0.68512,49.71,0.2299622,87.2,0.0660559,0.121551201,12885
148.37,940.9,506.24,13.21,477.8,57287,1401479.9,2.6086533,4.190581,0.715603,51.57,0.2261628,93.32,0.07837408,0.114998686,14371.5
178.73,1070.41,552.44,20.21,520.7,56235,1606945.8,2.6830334,4.561001,0.750757,53.01,0.22399737,95.55,0.09659219,0.110593755,15836.8
216.12,1539.33,689.94,32.5,699.49,74904,1725829.3,3.0397582,4.665398,0.881109,54.74,0.24281954,94.04,0.10612828,0.109380967,17395
229.37,2083.06,802.96,43.08,464.99,69611,1844216.1,3.0893333,4.934132,0.947974,56.39,0.22626097,100.02,0.10444215,0.109757408,18873.7
266.85,1993.18,903.22,39.63,836,98935,1963696.7,2.9717505,5.521587,0.950981,58.07,0.2207056,110.04,0.12640755,0.110896158,20635.2
295.95,2239.57,1057.4,52.96,2215.91,76512,2165553.8,2.9327016,6.11152,0.971566,59.65,0.21697072,121.33,0.14733155,0.11356492,22528.3
322.89,2322.68,1197.66,107.41,3366.9,92087,2408037.2,3.0579336,6.550646,1.02064,61.28,0.22170675,119.72,0.13649026,0.116209026,24666.3
342.04,2576.46,1368.96,98.75,4148.73,99236,2684020.4,3.3853311,6.629158,1.10465,62.66,0.22650457,116.11,0.14383221,0.119210417,26226
76.29,430.76,163.3,2.38,180,8261,337784.9,3.0664911,2.11412,0.926026,38.78,0.36451073,68.8,0.10418126,0.153278392,9768
128.39,460.3,192.2,2.93,238.7,10976,400742.9,3.3002394,2.364667,1.00312,40.5,0.36482898,76.53,0.10540237,0.14070808,10954.4
159.76,473.18,213.87,4.81,264,12020,464409.8,3.6616142,2.572372,1.06237,42.28,0.37173565,79.46,0.0814273,0.135429475,12184.7
199.78,820.48,302.66,13.7,349.29,14584,486077.3,4.4222384,2.594598,1.32424,44.24,0.43566597,80.99,0.07553967,0.132422553,13466.6
204.11,946.04,392.86,11.11,232.05,20276,509227.6,4.6444974,2.739603,1.45909,46.07,0.43748168,84.44,0.06570261,0.131003571,14670.3
243.78,1099.87,576.38,11.66,456.19,24448,466911.6,4.7566941,2.91025,1.57458,48.12,0.44296039,96.22,0.04441566,0.130417526,16011
266.82,1127.95,742.84,25.37,1194.2,27882,476151.3,4.6143436,3.217816,1.59919,49.69,0.45745428,103.74,0.04909935,0.131840557,17488.4
289.14,1405.75,870.69,34.31,1958.9,27637,505544.3,4.6392519,3.470661,1.67572,50.7,0.4532535,103.92,0.04367861,0.133497688,19139
305.5,1460.57,931.42,42.69,2557.64,30732,521333.6,4.7857975,3.5848,1.75825,52.23,0.46174321,106.87,0.04230135,0.135933909,20335.1
61.47,105.58,49.92,1.24,54.5,844,84196.5,3.3835039,2.6839,1.18359,47.85,0.61210748,94.6,0.04780196,0.142450263,11467.8
118.01,117.8,54.9,1.11,67.5,1099,89540.4,3.5934045,3.0005,1.21539,49.29,0.57870654,93.88,0.05070605,0.138661821,12947.8
145.93,134.15,61.35,1.59,77.2,1534,92527.6,3.8400222,3.2218,1.28283,50.84,0.5849947,93.24,0.05711231,0.136549479,14374
195.15,208.14,82.28,2.6,101.65,2590,65029,4.2829482,3.4883,1.36765,51.67,0.62686333,87.88,0.0599138,0.135837608,15812.7
200.38,262.21,99.66,4.6,67.21,3284,77939.6,4.3939296,3.8968,1.34764,53.55,0.59273311,90.95,0.04498021,0.13507457,17301.8
240.2,310.55,120.15,2.01,161.68,3181,83275.6,4.6465104,4.2211,1.28223,55.45,0.58306252,102.09,0.01796073,0.13562628,19001
263.12,355.42,152.9,3.04,422.81,4439,67715.8,4.32978,4.6854,1.2674,57.27,0.57497304,113.79,0.01751095,0.142344804,20757.3
282.65,382.3,174.54,3.9,637,5017,93712,4.230921,4.9976,1.2872,58.78,0.62835516,110.73,0.01277892,0.144088136,22617.7
298.23,412.82,181.97,4.54,827.54,6736,103699.2,4.3032037,5.0845,1.33712,60.08,0.6430154,111.31,0.00763672,0.145344388,24037.4
87.13,122.06,60.91,1.46,61.1,1985,143696.4,2.938252,3.2609,0.956675,51.15,0.36918109,92.5,0.0656638,0.162103682,13104
136.74,150.3,71.1,1.6,80.4,3230,167493.5,3.0372405,3.5135,0.998112,52.84,0.35788747,95.87,0.08561143,0.158162132,14565.8
165.26,180.31,78.2,2.3,91.9,3532,186517.5,3.2110388,3.6815,1.02667,54.82,0.3635224,104.04,0.13495865,0.151968678,15906.8
214.7,200.76,92.46,3.8,123.23,4394,200453.1,3.4251675,3.7876,1.0976,56.98,0.39099585,95.32,0.09029067,0.148853795,17329.1
212.36,307.11,111.88,4.25,94.73,6149,239624.3,3.5209983,4.0339,1.15343,58.74,0.39593005,106.15,0.07767314,0.145344006,18832.3
255.59,415.05,159.15,3.27,204.87,8575,291101.4,3.5802193,4.5718,1.09794,60.95,0.3986514,116.16,0.10632069,0.143156379,20561.7
272.92,498.23,217.02,7.19,462.92,9860,369910.2,3.5314344,4.9614,1.17106,62.15,0.38300433,128.04,0.07119547,0.143690983,22400.4
292.31,520.04,259.09,8.15,743.9,9275,415733.1,3.7049684,5.2537,1.18543,63.63,0.38369953,119.24,0.06422057,0.144554001,24411.9
310.02,549.95,283.64,7.74,924.34,12172,453490.8,3.8400969,5.5021,1.22077,64.96,0.37759469,116.51,0.03135898,0.145070256,25734.9
82.45,548.07,255.02,3.24,246.6,7044,273424.7,2.772637,3.3103,0.866502,44.22,0.36241941,91,0.21436898,0.145793609,12151
143.4,628.6,293,4.07,317.1,8224,314257.4,2.9162798,3.6988,1.03055,44.94,0.36323758,94.24,0.20338537,0.142687702,13669.6
163.67,734.3,305.7,5.72,329,10210,357811.7,2.9605994,4.0193,1.05202,46.79,0.35777261,90.38,0.18348049,0.142683312,15096.6
205.49,1023.79,409.54,8.7,382.55,12250,366179.8,3.3752038,3.952,1.29166,48.78,0.40803771,85.96,0.13163231,0.144830566,16859.1
208.72,1323.9,468.4,13.37,252.85,14105,390945.5,3.5748365,4.002,1.36723,50.42,0.42884753,88.91,0.12164637,0.147939745,18354.7
248.69,1407.42,569.91,8.24,333.28,14260,400467.8,3.6051134,4.5476,1.34561,51.9,0.42614014,92.13,0.12444072,0.151417823,19975.1
271.84,1678.63,647.25,8.01,856.18,14647,448778.8,3.373397,5.1238,1.38714,54.01,0.41089164,108.73,0.10331969,0.154802857,21500.2
294.34,1818.97,775.9,15.87,2006,14771,441346.9,3.2345329,5.3542,1.46955,55.51,0.39092793,108.79,0.12027943,0.160703947,23103.4
308.35,1943.82,883.86,13.17,3092.05,18843,391938.6,3.4695019,5.3606,1.46924,56.53,0.40102337,110.11,0.10685047,0.166712823,23844.7
